cruise,permit,year,observer,vessel_name,gear_desc,haul_date,haul,size_est,visual_cue,total_haul_pss,census,sex_obs,photo_taken,wt,pcl,specimen_yn,specimen_num,notes,notes2,trip_join,haul_join,nmfs_area,gear,gear_description,performance,performance_description,official_total_catch_mt,vessel,vessel_length_ft,ifq_flag,duration_min,bottom_depth_fathoms,fishing_depth_fathoms,lat_dd_start,lon_dd_start,lat_dd_end,lon_dd_end,t_table,haul_seq,sample_type,percent_retained,date_of_entry,species_code,species_name,sex,sample_size,sample_number,sample_weight_kg,extrapolated_number,extrapolated_weight_kg,received_from_norpac,loaded_to_repository,sampID,ncf_lat,ncf_lon
24342,417,2020,Josephine Padgett,Starward,NA,2020-07-16,69,S,NA,2,Y,2,NA,NA,95,NA,NA,NA,NA,'24342000417000000012','24342000417000000021',521,2,PELAGIC,1,NO PROBLEM,40,A138,123,N,576,59,50,57.7,-172.34833,57.69667,-172.34333,ATL,21,B,100,16-Jul-20,62,PACIFIC SLEEPER SHARK,NA,131,2,25.6,2,25.6,11-Jul-22,13-Jul-22,62_2020_24342_417_69_22,57.6284016315,-172.302914654
22350,4463,2018,Tyler Allen,Clipper Eric,NA,2018-02-19,70,M,2,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22350004463000000016','22350004463000001256',513,8,LONGLINER,1,NO PROBLEM,40.25,A580,172,N,1435.2,54,NA,56.45667,-166.87833,56.65333,-166.87833,ATL,1256,B,0,29-Dec-21,62,PACIFIC SLEEPER SHARK,NA,3852,1,0,5,64.08,11-Jul-22,13-Jul-22,62_2018_22350_4463_70_23,56.5846336136,-166.834261533
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-04-20,71,S,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000005','23989006323000000071',521,8,LONGLINER,1,NO PROBLEM,65.04,A660,167,N,1324.2,67,NA,58.98667,-174.035,58.98667,-174.035,ATL,71,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,20448,1,12.14,3,35.06,11-Jul-22,13-Jul-22,62_2020_23989_6323_71_24,58.95499746,-173.98162971
22569,29997,2018,Lauren Eaken,Bering Leader,NA,2018-04-10,76,S,13,1,Y,NA,NA,NA,NA,N,NA,NA,NA,'22569029997000000017','22569029997000000478',521,8,LONGLINER,1,NO PROBLEM,57.27,A697,124,N,2010,69,NA,59.00333,-174.25833,58.99833,-174.28167,ATL,478,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,21660,1,0,3,38.45,11-Jul-22,13-Jul-22,62_2018_22569_29997_76_25,58.9940687943,-174.32215175
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-04-25,76,S,2,1,Y,2,N,12.24,97,N,NA,Only shark in haul. Brought up by dipnetter and measured and weighed in hand.,NA,'23989006323000000005','23989006323000000076',521,8,LONGLINER,1,NO PROBLEM,33.01,A660,167,N,1422,61,NA,58.91167,-173.11833,58.86167,-173.21833,ATL,76,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,20124,1,12.24,3,40.45,11-Jul-22,13-Jul-22,62_2020_23989_6323_76_26,58.874174162,-173.302967705
24304,3011,2020,Lauren Kabot,Ocean Explorer,NA,2020-07-07,76,S,NA,1,NA,NA,NA,NA,100,NA,NA,Photos: 0111-0113 could not weigh,NA,'24304003011000000005','24304003011000000021',517,2,PELAGIC,1,NO PROBLEM,50,A004,155,N,639,123,110,54.44222,-165.67611,54.52722,-165.63278,ATL,21,B,0,7-Jul-20,62,PACIFIC SLEEPER SHARK,NA,236,1,12.01,1,12.01,11-Jul-22,13-Jul-22,62_2020_24304_3011_76_27,54.5235072258,-165.598110996
23989,6323,2020,Sara Bunker,Bristol Leader,NA,2020-05-01,82,M,2,1,Y,NA,NA,NA,NA,NA,NA,Only shark in haul- dropped off line- not able to measure in hand,NA,'23989006323000000005','23989006323000000082',521,8,LONGLINER,1,NO PROBLEM,51.89,A660,167,N,1323,62,NA,59.11667,-173.78333,59.11667,-173.72667,ATL,82,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,22460,1,12.14,3,33.98,11-Jul-22,13-Jul-22,62_2020_23989_6323_82_28,59.086132331,-173.743937666
22536,6323,2018,Elanor Wolff,Bristol Leader,NA,2018-04-13,91,S,NA,NA,Y,1,NA,6.49,80,N,NA,NA,NA,'22536006323000000019','22536006323000000754',521,8,LONGLINER,1,NO PROBLEM,49.12,A660,167,N,1566,61,NA,58.21,-173.535,58.20833,-173.57,ATL,754,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14400,1,6.49,4,23.8,11-Jul-22,13-Jul-22,62_2018_22536_6323_91_29,58.270699806,-173.576351757
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-09,99,L,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001898',521,8,LONGLINER,1,NO PROBLEM,45.25,A715,184,N,1317,66,NA,59.40667,-174.51833,59.315,-174.505,ATL,1898,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14688,2,0,6,90.56,11-Jul-22,13-Jul-22,62_2019_23410_33320_99_30,59.3350625928,-174.534642509
23410,33320,2019,Grant Burns,Northern Leader,NA,2019-05-09,99,M,12,1,NA,NA,NA,NA,NA,N,NA,Used gangion length for estimate,NA,'23410033320000000051','23410033320000001898',521,8,LONGLINER,1,NO PROBLEM,45.25,A715,184,N,1317,66,NA,59.40667,-174.51833,59.315,-174.505,ATL,1898,B,0,30-Dec-21,62,PACIFIC SLEEPER SHARK,NA,14688,2,0,6,90.56,11-Jul-22,13-Jul-22,62_2019_23410_33320_99_31,59.3350625928,-174.534642509
